2025-12-04 18:03:28,017 | INFO     | InventoryPipeline | Total inventory snapshots: 30
2025-12-04 18:03:28,017 | INFO     | InventoryPipeline | Total restock events: 28
2025-12-04 18:03:28,017 | INFO     | InventoryPipeline | Products in master: 10
2025-12-04 18:03:28,017 | INFO     | InventoryPipeline | Stores in master: 5
2025-12-04 18:03:28,019 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 18:03:28,019 | INFO     | InventoryPipeline | LAYER 2: STAGING (SILVER) - Validation & Deduplication
2025-12-04 18:03:28,019 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 18:03:28,020 | INFO     | InventoryPipeline | --------------------------------------------------
2025-12-04 18:03:28,020 | INFO     | InventoryPipeline | Validating Inventory Snapshots...
2025-12-04 18:03:28,020 | INFO     | InventoryPipeline | --------------------------------------------------
2025-12-04 18:03:28,023 | INFO     | InventoryPipeline |   Missing store_id: 1 records
2025-12-04 18:03:28,026 | INFO     | InventoryPipeline |   Missing product_id: 1 records
2025-12-04 18:03:28,029 | INFO     | InventoryPipeline |   Missing snapshot_date: 1 records
2025-12-04 18:03:28,032 | INFO     | InventoryPipeline |   Missing snapshot_level: 0 records
2025-12-04 18:03:28,035 | INFO     | InventoryPipeline |   Negative stock: 1 records
2025-12-04 18:03:28,038 | INFO     | InventoryPipeline |   Mismatched product_id: 1 records
2025-12-04 18:03:28,041 | INFO     | InventoryPipeline |   Capacity exceeded (warning): 0 records
2025-12-04 18:03:28,046 | INFO     | InventoryPipeline |   Valid records: 24
2025-12-04 18:03:28,047 | INFO     | InventoryPipeline |   Invalid records: 5
2025-12-04 18:03:28,047 | INFO     | InventoryPipeline |   Duplicates removed: 1
2025-12-04 18:03:28,047 | INFO     | InventoryPipeline | --------------------------------------------------
2025-12-04 18:03:28,048 | INFO     | InventoryPipeline | Validating Restock Events...
2025-12-04 18:03:28,048 | INFO     | InventoryPipeline | --------------------------------------------------
2025-12-04 18:03:28,056 | INFO     | InventoryPipeline |   Missing store_id: 1 records
2025-12-04 18:03:28,061 | INFO     | InventoryPipeline |   Missing product_id: 1 records
2025-12-04 18:03:28,065 | INFO     | InventoryPipeline |   Missing restock_date: 0 records
2025-12-04 18:03:28,067 | INFO     | InventoryPipeline |   Missing incoming_quantity: 0 records
2025-12-04 18:03:28,071 | INFO     | InventoryPipeline |   Invalid quantity: 0 records
2025-12-04 18:03:28,080 | INFO     | InventoryPipeline |   Exceeded restock max: 3 records
2025-12-04 18:03:28,083 | INFO     | InventoryPipeline |   Mismatched product_id: 1 records
2025-12-04 18:03:28,085 | INFO     | InventoryPipeline |   Valid records: 22
2025-12-04 18:03:28,086 | INFO     | InventoryPipeline |   Invalid records: 6
2025-12-04 18:03:28,087 | INFO     | InventoryPipeline | --------------------------------------------------
2025-12-04 18:03:28,090 | INFO     | InventoryPipeline | Applying Fuzzy Matching for Product ID Correction...
2025-12-04 18:03:28,093 | INFO     | InventoryPipeline | --------------------------------------------------
2025-12-04 18:03:28,096 | INFO     | InventoryPipeline |   Attempting fuzzy match for 1 records in inventory_snapshot
2025-12-04 18:03:28,110 | INFO     | InventoryPipeline |   Attempting fuzzy match for 1 records in restock_events
2025-12-04 18:03:28,118 | INFO     | InventoryPipeline |   Fuzzy matches found: 2
2025-12-04 18:03:28,118 | INFO     | InventoryPipeline |   Unmatched products: 0
2025-12-04 18:03:28,118 | INFO     | InventoryPipeline |   Validating SKU format with pattern: ^SKU-[A-Z]{3}-[0-9]{3}$
2025-12-04 18:03:28,120 | INFO     | InventoryPipeline |     inventory_snapshot: 24 non-standard SKUs
2025-12-04 18:03:28,127 | INFO     | InventoryPipeline |     restock_events: 22 non-standard SKUs
2025-12-04 18:03:28,145 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 18:03:28,146 | INFO     | InventoryPipeline | LAYER 3: RECONCILIATION - Computing Effective Stock Level
2025-12-04 18:03:28,147 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 18:03:28,155 | INFO     | InventoryPipeline |   Aggregated restock events: 22 unique combinations
2025-12-04 18:03:28,171 | INFO     | InventoryPipeline |   Formula: effective_stock = snapshot + restock - damaged - expired
2025-12-04 18:03:28,174 | INFO     | InventoryPipeline |   Total reconciled records: 24
2025-12-04 18:03:28,175 | INFO     | InventoryPipeline |   Average effective stock: 353.12
2025-12-04 18:03:28,176 | INFO     | InventoryPipeline |   Total stock movement: 1120
2025-12-04 18:03:28,177 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 18:03:28,177 | INFO     | InventoryPipeline | LAYER 4: CURATED (GOLD) - Inventory Fact Table
2025-12-04 18:03:28,177 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 18:03:28,202 | INFO     | InventoryPipeline |   Saved to: curated/inventory_fact/inventory_fact.parquet
2025-12-04 18:03:28,208 | INFO     | InventoryPipeline |   Also saved as CSV: curated/inventory_fact/inventory_fact.csv
2025-12-04 18:03:28,208 | INFO     | InventoryPipeline |   Total records in fact table: 24
2025-12-04 18:03:28,211 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 18:03:28,211 | INFO     | InventoryPipeline | QUARANTINE LAYER - Invalid Records for Diagnostics
2025-12-04 18:03:28,211 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 18:03:28,230 | INFO     | InventoryPipeline |   inventory_snapshot: 5 invalid records saved to quarantine/quarantine_inventory_snapshot
2025-12-04 18:03:28,247 | INFO     | InventoryPipeline |   restock_events: 6 invalid records saved to quarantine/quarantine_restock_events
